Days,Num Cases
1,5
2,1
3,2
4,4
5,4
6,8
7,4
8,6
9,11
10,8
11,12
12,14
13,22
14,21
15,52
16,67
17,59
18,82
19,63
20,75
21,58
22,140
23,123
24,106
25,178
26,306
27,423
28,485
29,556
30,576
31,606
32,485
33,570
34,563
35,812
36,870
37,853
38,758
39,1243
40,1031
41,884
42,1061
43,922
44,1370
45,1579
46,1239
47,1537
48,1292
49,1667
50,1407
51,1835
52,1607
53,1568
54,1902
55,1705
56,1802
57,2396
58,2564
59,2952
60,3656
61,2971
62,3602
63,3344
64,3339
65,3175
66,4311
67,3592
68,3562
69,3726
70,3991
71,3808
72,4794
73,5049
74,4628
75,6154
76,5720
77,6023
78,6536
79,6665
80,7111
81,6414
82,5907
83,7246
84,7254
85,8138
86,8364
87,8789
88,7723
89,8812
90,9689
91,9847
92,9472
93,10408
94,10882
95,8536
96,9981
97,11156
98,11135
99,11306
100,12039
101,11404
102,10032
103,11085
104,13108
105,13829
106,14740
107,15918
108,15151
109,13560
110,15656
111,16868
112,18205
113,18255
114,20142
115,19610
116,18339
117,18256
118,19429
119,21947
120,22718
121,24018
122,23942
123,22500
124,23145
125,25561
126,25790
127,27762
128,27755
